altitude,watershed,watercourse,station,decimal_latitude,decimal_longitude,total_alkalinity,weather_condition,in-situ_electrical_conductivity,true_color,nitrate,nitrite,total_dissolved_solids,total_suspended_solids,sulfide,air_temperature,year,month,day,day_of_week,week_of_year,acronym,agriculture,forest,mining,non_observed,other_non_forest_natural_formation,other_non_vegetated_area,urban_infrastructure,water,period,BOD,total_phosphorus,turbidity,pH,temperature,dissolved_oxygen,river_flow,health_index
610.0,Rio Doce,Rio Piranga,RD001,-20.69,-43.3,37.7,Bom,42.9,66.0,0.16,0.006,42.0,19.0,0.5,27.0,2006,1,16,0,3,DO1,12706.81639246414,4863.404812561585,23.71012560436933,0.005055147277832,131.9009816218856,10.62677919647216,73.2593713050534,116.7877859852315,Rainy,2.0,0.04,10.3,7.2,25.1,5.8,41.244850891410046,0.4811863945578233
610.0,Rio Doce,Rio Piranga,RD001,-20.69,-43.3,14.4,Nublado,40.3,43.0,0.06,0.005,40.0,1.0,0.5,22.0,2006,7,11,1,28,DO1,12706.81639246414,4863.404812561585,23.71012560436933,0.005055147277832,131.9009816218856,10.62677919647216,73.2593713050534,116.7877859852315,Dry,2.0,0.02,5.06,7.1,20.3,8.3,21.01885398981324,0.46543469387755115
602.0,Rio Doce,Rio Xopotó (DO1),RD004,-20.79,-43.12,11.9,Bom,34.6,38.0,0.05,0.002,37.0,22.0,0.5,27.0,2006,1,16,0,3,DO1,12706.81639246414,4863.404812561585,23.71012560436933,0.005055147277832,131.9009816218856,10.62677919647216,73.2593713050534,116.7877859852315,Rainy,2.0,0.04,12.1,7.3,25.1,5.7,41.244850891410046,0.4808346938775512
602.0,Rio Doce,Rio Xopotó (DO1),RD004,-20.79,-43.12,9.5,Bom,30.0,48.0,0.05,0.002,30.0,8.0,0.5,22.0,2006,7,11,1,28,DO1,12706.81639246414,4863.404812561585,23.71012560436933,0.005055147277832,131.9009816218856,10.62677919647216,73.2593713050534,116.7877859852315,Dry,2.0,0.03,9.69,6.9,20.6,8.8,21.01885398981324,0.4615959183673471
590.0,Rio Doce,Rio Piranga,RD007,-20.67,-43.09,14.3,Bom,39.5,52.0,0.05,0.002,37.0,33.0,0.5,27.0,2006,1,16,0,3,DO1,12706.81639246414,4863.404812561585,23.71012560436933,0.005055147277832,131.9009816218856,10.62677919647216,73.2593713050534,116.7877859852315,Rainy,2.0,0.06,13.8,7.2,25.1,4.7,41.244850891410046,0.48325918367346954
590.0,Rio Doce,Rio Piranga,RD007,-20.67,-43.09,11.8,Bom,33.9,47.0,0.08,0.002,32.0,10.0,0.5,23.0,2006,7,11,1,28,DO1,12706.81639246414,4863.404812561585,23.71012560436933,0.005055147277832,131.9009816218856,10.62677919647216,73.2593713050534,116.7877859852315,Dry,2.0,0.03,8.79,7.0,20.9,8.6,21.01885398981324,0.46024897959183686
651.0,Rio Doce,Rio do Carmo,RD009,-20.35,-43.32,27.2,Bom,152.0,19.0,0.28,0.078,89.0,64.0,0.5,27.0,2006,1,17,1,3,DO1,12706.81639246414,4863.404812561585,23.71012560436933,0.005055147277832,131.9009816218856,10.62677919647216,73.2593713050534,116.7877859852315,Rainy,2.0,0.1,32.0,7.4,25.1,6.6,41.244850891410046,0.6703414965986395
651.0,Rio Doce,Rio do Carmo,RD009,-20.35,-43.32,46.4,Bom,165.0,16.0,0.53,0.141,94.0,33.0,0.5,21.0,2006,7,12,2,28,DO1,12706.81639246414,4863.404812561585,23.71012560436933,0.005055147277832,131.9009816218856,10.62677919647216,73.2593713050534,116.7877859852315,Dry,4.0,0.16,7.27,7.5,17.0,8.1,21.01885398981324,0.6573510204081634
402.0,Rio Doce,Rio Piranga,RD013,-20.38,-42.9,12.8,Bom,41.0,82.0,0.11,0.006,38.0,21.0,0.5,27.0,2006,1,17,1,3,DO1,12706.81639246414,4863.404812561585,23.71012560436933,0.005055147277832,131.9009816218856,10.62677919647216,73.2593713050534,116.7877859852315,Rainy,2.0,0.05,16.0,7.5,25.1,4.6,41.244850891410046,0.4833639455782315
292.0,Rio Doce,Rio Casca,RD018,-20.1,-42.63,12.7,Bom,51.4,54.0,0.33,0.027,52.0,39.0,0.5,27.0,2006,1,17,1,3,DO1,12706.81639246414,4863.404812561585,23.71012560436933,0.005055147277832,131.9009816218856,10.62677919647216,73.2593713050534,116.7877859852315,Rainy,2.0,0.13,36.4,7.0,25.1,4.3,41.244850891410046,0.49128095238095254
292.0,Rio Doce,Rio Casca,RD018,-20.1,-42.63,12.3,Bom,51.0,26.0,0.64,0.054,41.0,10.0,0.5,25.0,2006,7,12,2,28,DO1,12706.81639246414,4863.404812561585,23.71012560436933,0.005055147277832,131.9009816218856,10.62677919647216,73.2593713050534,116.7877859852315,Dry,2.0,0.06,9.85,7.0,22.0,8.4,21.01885398981324,0.4645816326530614
291.0,Rio Doce,Rio Doce,RD019,-20.02,-42.75,12.5,Bom,43.4,90.0,0.1,0.004,44.0,19.0,0.5,27.0,2006,1,17,1,3,DO1,12706.81639246414,4863.404812561585,23.71012560436933,0.005055147277832,131.9009816218856,10.62677919647216,73.2593713050534,116.7877859852315,Rainy,2.0,0.04,31.1,7.2,25.1,6.6,41.244850891410046,0.48939523809523827
291.0,Rio Doce,Rio Doce,RD019,-20.02,-42.75,14.7,Bom,44.3,15.0,0.16,0.011,39.0,11.0,0.5,23.0,2006,7,12,2,28,DO1,12706.81639246414,4863.404812561585,23.71012560436933,0.005055147277832,131.9009816218856,10.62677919647216,73.2593713050534,116.7877859852315,Dry,3.0,0.02,10.0,7.3,21.3,8.2,21.01885398981324,0.4711517006802723
306.0,Rio Doce,Rio Matipó,RD021,-20.08,-42.47,9.6,Bom,36.9,45.0,0.13,0.004,33.0,12.0,0.5,27.0,2006,1,17,1,3,DO1,12706.81639246414,4863.404812561585,23.71012560436933,0.005055147277832,131.9009816218856,10.62677919647216,73.2593713050534,116.7877859852315,Rainy,2.0,0.03,9.67,7.3,25.1,6.0,41.244850891410046,0.4794802721088437
